应用名称：小琪TV
应用包名：com.vv.test
数据地址：http://47.240.44.189/2020/tv/data88998.php
应用签名：11779
附加字符：A9YZzkKb5bJKldYrCBe9


精選節目,#genre#
汕头新闻综合HD,http://111.229.155.66:7722/timetv.php?type=sttv&channel=stxw
汕头经济生活HD,http://111.229.155.66:7722/timetv.php?type=sttv&channel=stjj
鳳凰中文台,http://php.jdshipin.com:8880/xsj.php?id=phtv-cn
鳳凰衛視資訊台,http://php.jdshipin.com:8880/xsj.php?id=phtv-info
鳳凰衛視香港,http://php.jdshipin.com:8880/xsj.php?id=phtv-hk
香港凤凰频道,http://hikvision.city:880/fhxgt.m3u8
香港1线(搅珠),https://vdm6-ali.wujiekeji1.com/live/h6-2.flv
香港2线(搅珠),https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
香港21:30四九,rtmp://100www.ku55.cn/zzjj123/livekj123?auth_key=2299702236-0-0-4d409d8bca97ea5ff8fd9cf763129ac1
香港21:30一七,https://ccc.jihbcr.com/live/629.m3u8
新澳21:30三三,https://play888.00853lhc.live/live/mosixmark.flv?t=1710250308649
新澳21:30四九,https://play666.macau-lhc.live/live/mosixmark.flv
新澳21:30官方,https://play888.00853lhc.live/live/mosixmark.flv
老澳21:32官方,https://vdm6-ali.oujinghb.com/live/2032-2.flv
老澳21:30三三,https://play888.00853lhc.live/live/mosixmark.flv?t=1710336821937
老澳21:32彩家,https://vdm6-hw.qunleniuniu.com/live/2032-2.flv
老澳21:32播放,https://vdm6-ali.kavimmensucat.com/live/2032-2.flv
老澳21:32开始,https://aa.jmied.com/aa/aa.flv?auth_key=1661059701-0-0-18edbe2ace26cc97f5e86aaee951497e
NBA TV2,http://170.yfvodcdn.com:19980/live/nbaTV2/hls.m3u8
NBA TV1,http://170.yfvodcdn.com:19980/live/nbaTV1/hls.m3u8
极速频道,#genre#
鳳凰衛視HD,http://jiaojirentv.top/2020/tv/auto/tlpd/tlpd-50a4c0153c21a8562ea0737c681998b9.php?id=1
鳳凰資訊HD,http://jiaojirentv.top/2020/tv/auto/tlpd/tlpd-50a4c0153c21a8562ea0737c681998b9.php?id=2
鳳凰香港HD,http://jiaojirentv.top/2020/tv/auto/tlpd/tlpd-50a4c0153c21a8562ea0737c681998b9.php?id=3
TVB 翡翠台HK(BG),http://jiaojirentv.top/2020/tv/auto/tlpd/tlpd-50a4c0153c21a8562ea0737c681998b9.php?id=4
TVB无线新闻,http://jiaojirentv.top/2020/tv/auto/tlpd/tlpd-50a4c0153c21a8562ea0737c681998b9.php?id=5
TVB Plus官网(HK),http://jiaojirentv.top/2020/tv/auto/tlpd/tlpd-50a4c0153c21a8562ea0737c681998b9.php?id=6
HKC18跑马,http://jiaojirentv.top/2020/tv/auto/tlpd/tlpd-50a4c0153c21a8562ea0737c681998b9.php?id=7
TVB 明珠台 Pearl(HK),http://jiaojirentv.top/2020/tv/auto/tlpd/tlpd-50a4c0153c21a8562ea0737c681998b9.php?id=8
TVBSUPER Kids Channel (HK),http://jiaojirentv.top/2020/tv/auto/tlpd/tlpd-50a4c0153c21a8562ea0737c681998b9.php?id=9
TVB 亞洲劇台HK(BG),http://jiaojirentv.top/2020/tv/auto/tlpd/tlpd-50a4c0153c21a8562ea0737c681998b9.php?id=10
TVB 黃金翡翠台(HK),http://jiaojirentv.top/2020/tv/auto/tlpd/tlpd-50a4c0153c21a8562ea0737c681998b9.php?id=11
TVB 功夫台 Asia Action TH(HK),http://jiaojirentv.top/2020/tv/auto/tlpd/tlpd-50a4c0153c21a8562ea0737c681998b9.php?id=12
TVB 粵語片台(HK),http://jiaojirentv.top/2020/tv/auto/tlpd/tlpd-50a4c0153c21a8562ea0737c681998b9.php?id=13
